Date,Month,Region,Product,Units_Sold,Unit_Price
2024-01-05,Jan,North,Laptop,45,55000
2024-01-06,Jan,South,Laptop,38,55000
2024-01-07,Jan,East,Laptop,40,55000
2024-01-08,Jan,West,Laptop,42,55000
2024-01-10,Jan,North,Mobile,120,20000
2024-01-11,Jan,South,Mobile,140,20000
2024-01-12,Jan,East,Mobile,135,20000
2024-01-13,Jan,West,Mobile,150,20000
2024-01-15,Jan,North,Tablet,60,30000
2024-01-16,Jan,South,Tablet,55,30000
2024-01-17,Jan,East,Tablet,58,30000
2024-01-18,Jan,West,Tablet,62,30000

2024-02-05,Feb,North,Laptop,48,55000
2024-02-06,Feb,South,Laptop,40,55000
2024-02-07,Feb,East,Laptop,43,55000
2024-02-08,Feb,West,Laptop,45,55000
2024-02-10,Feb,North,Mobile,130,20000
2024-02-11,Feb,South,Mobile,150,20000
2024-02-12,Feb,East,Mobile,145,20000
2024-02-13,Feb,West,Mobile,160,20000
2024-02-15,Feb,North,Tablet,65,30000
2024-02-16,Feb,South,Tablet,60,30000
2024-02-17,Feb,East,Tablet,63,30000
2024-02-18,Feb,West,Tablet,68,30000

2024-03-05,Mar,North,Laptop,55,55000
2024-03-06,Mar,South,Laptop,46,55000
2024-03-07,Mar,East,Laptop,50,55000
2024-03-08,Mar,West,Laptop,52,55000
2024-03-10,Mar,North,Mobile,145,20000
2024-03-11,Mar,South,Mobile,165,20000
2024-03-12,Mar,East,Mobile,160,20000
2024-03-13,Mar,West,Mobile,175,20000
2024-03-15,Mar,North,Tablet,70,30000
2024-03-16,Mar,South,Tablet,65,30000
2024-03-17,Mar,East,Tablet,68,30000
2024-03-18,Mar,West,Tablet,72,30000

2024-04-05,Apr,North,Laptop,60,55000
2024-04-06,Apr,South,Laptop,50,55000
2024-04-07,Apr,East,Laptop,55,55000
2024-04-08,Apr,West,Laptop,58,55000
2024-04-10,Apr,North,Mobile,160,20000
2024-04-11,Apr,South,Mobile,180,20000
2024-04-12,Apr,East,Mobile,175,20000
2024-04-13,Apr,West,Mobile,190,20000
2024-04-15,Apr,North,Tablet,75,30000
2024-04-16,Apr,South,Tablet,70,30000
2024-04-17,Apr,East,Tablet,73,30000
2024-04-18,Apr,West,Tablet,78,30000

2024-05-05,May,North,Laptop,62,55000
2024-05-06,May,South,Laptop,54,55000
2024-05-07,May,East,Laptop,58,55000
2024-05-08,May,West,Laptop,60,55000
2024-05-10,May,North,Mobile,170,20000
2024-05-11,May,South,Mobile,195,20000
2024-05-12,May,East,Mobile,185,20000
2024-05-13,May,West,Mobile,205,20000
2024-05-15,May,North,Tablet,80,30000
2024-05-16,May,South,Tablet,75,30000
2024-05-17,May,East,Tablet,78,30000
2024-05-18,May,West,Tablet,82,30000



